Pub_ID,Pub_Name,Year,Journal,Publisher,Volume,Issue,Pages,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20
pub0000000028,Host-feeding patterns of Florida mosquitoes I. Aedes Anopheles Coquillettidia Mansonia and Psorophora,1971,Journal of medical entomology,,8,6,687-695,John D. Edman,,,,,,,,,,,,,,,,,,,
pub0000000029,Host-feeding patterns of Florida mosquitoes II. Culiseta,1972,Journal of medical entomology,,9,5,429-434,John D. Edman,L.A. Webber,H. W. Kale II,,,,,,,,,,,,,,,,,
pub0000000030,A three-year study of the feeding habits of culex tarsalis in kern county california,1965,Journal of Tropical Medicine and Hygiene,,14,1,170-177,C. H. Tempelis,W. C. Reeves,R. E. Bellamy,M. F. Lofy,,,,,,,,,,,,,,,,
pub0000000031,A revision of the Uranotaenia of Panama with Notes on other American Species of the Genus,1954,Annals of the Entomological Society of America,,47,1,107-177,Pedro Galindo ,Franklin S. Blanton,E. L. Peyton,,,,,,,,,,,,,,,,,
pub0000000032,The Culicidae of the Australasian Region,1989,,Canberra: Australian Government Publishing Service,8,,1-184,David J. Lee,Megan M. Hicks,Mabel Griffiths,Margaret L. Debenham,Elizabeth N. Marks,Joan H. Bryan,,,,,,,,,,,,,,
pub0000000033,Feeding Patterns of Mosquitoes (Diptera: Culicidae) in the Atlantic Forest Rio de Janeiro Brazil,2015,Journal of Medical Entomology,,52,5,783–788,Jeronimo Alencar,Cecília Ferreira De Mello,Hélcio R. Gil-Santana,Alessandro Ponce De Leão Giupponi,Andressa Nunes Araújo,Elias Seixas Lorosa,Anthony Érico Guimarães,Júlia Dos Santos Silva,,,,,,,,,,,,
pub0000000034,Estudo das fontes alimentares através da reação de precipitina e grau de infectividade em Triatoma rubrofasciata (De Geer 1973) coletados na Ilha de São Luiz Maranhão,1998,Journal of Entomology Vector,,5,,241–250,E. S. Lorosa,S. M. Andrade,S. M. Santos,C. A. Pereira,,,,,,,,,,,,,,,,
pub0000000035,Estudos sobre a reação de precipitina aplicada à identificação de sangue ingerido por Triatomíneos,1960,Revista Do Instituto De Medicina Tropical De São Paulo,,2,,41–53,A. F. Siqueira,,,,,,,,,,,,,,,,,,,
pub0000000036,Mammal decline linked to invasive Burmese python shifts host use of vector mosquito towards reservoir hosts of a zoonotic disease,2017,Biology Letters,,13,,1-4,Isaiah J. Hoyer,Erik M. Blosser,Carolina Acevedo,Anna Carels Thompson,Lawrence E. Reeves,Nathan D. Burkett-Cadena,,,,,,,,,,,,,,
pub0000000037,Host use and seasonality of Culex (Melanoconion) iolambdis (Diptera: Culicidae) from eastern Florida USA,2016,Acta Tropica,,164,,352-359,Erik M.Blosser,Tanise Stenn,Carolina Acevedo,Nathan D. Burkett-Cadena,,,,,,,,,,,,,,,,
