Pub_ID,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,"""Form""",Record_ID,Notes
pub0000000002,Culicinae,Aedini,Psorophora,Janthinosoma,ferox,null,null,sp0000000064,
pub0000000002,Culicinae,Aedini,Psorophora,Janthinosoma,horrida,null,null,sp0000000065,
pub0000000002,Culicinae,Aedini,Psorophora,Janthinosoma,johnstonii,null,null,sp0000000066,
pub0000000002,Culicinae,Aedini,Psorophora,Janthinosoma,longipalpis,null,null,sp0000000067,
pub0000000002,Culicinae,Aedini,Psorophora,Janthinosoma,varipes,null,null,sp0000000068,
pub0000000002,Culicinae,Aedini,Psorophora,Grabhamia,columbiae,null,null,sp0000000069,
pub0000000002,Culicinae,Aedini,Psorophora,Grabhamia,discolor,null,null,sp0000000070,
pub0000000002,Culicinae,Aedini,Psorophora,Grabhamia,pygmaea,null,null,sp0000000071,
pub0000000002,Culicinae,Aedini,Psorophora,Grabhamia,signipennis,null,null,sp0000000072,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,aboriginis,null,null,sp0000000073,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,abserratus,null,null,sp0000000074,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,atlanticus,null,null,sp0000000075,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,aurifer,null,null,sp0000000076,
pub0000000002,Culicinae,Aedini,Aedes,Rusticoides,bicristatus,null,null,sp0000000077,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,bimaculatus,null,null,sp0000000078,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,ventrovittus,null,null,sp0000000079,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,campestris,null,null,sp0000000080,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,canadensis,canadensis,null,sp0000000081,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,canadensis,mathesoni,null,sp0000000082,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,cantator,null,null,sp0000000083,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,cataphylla,null,null,sp0000000084,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,communis,null,null,sp0000000085,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,decticus,null,null,sp0000000086,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,diantaeus,null,null,sp0000000087,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,dorsalis,null,null,sp0000000088,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,dupreei,null,null,sp0000000089,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,excrucians,null,null,sp0000000090,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,fitchii,null,null,sp0000000091,
pub0000000002,Culicinae,Aedini,Aedes,Stegomyia,aegypti,null,null,sp0000000092,
pub0000000003,Anophelinae,Null,Anopheles,Nyssorhynchus,albimanus,null,null,sp0000000093,
pub0000000003,Anophelinae,Null,Anopheles,Anopheles,atropos,null,null,sp0000000094,
pub0000000003,Anophelinae,Null,Anopheles,Anopheles,crucians,null,null,sp0000000095,
pub0000000003,Anophelinae,Null,Anopheles,Anopheles,vestitipennis,null,null,sp0000000096,
pub0000000003,Anophelinae,Null,Anopheles,Anopheles,grabhamii,null,null,sp0000000097,
pub0000000003,Culicinae,Uranotaeniini,Uranotaenia,Uranotaenia,socialis,null,null,sp0000000098,
pub0000000003,Culicinae,Uranotaeniini,Uranotaenia,Uranotaenia,cooki,null,null,sp0000000099,
pub0000000003,Culicinae,Uranotaeniini,Uranotaenia,Uranotaenia,lowii,null,null,sp0000000100,
pub0000000003,Culicinae,Culicini,Deinocerites,null,cancer,null,null,sp0000000101,
pub0000000003,Culicinae,Culicini,Culex,Culex,bahamensis,null,null,sp0000000102,
