node,taxonomy_tips,backbone_tips,simulated_tips,backbone_monophyletic,simulated_monophyletic,backbone_birth,simulated_birth,backbone_death,simulated_death,warnings
EretmapoditesEretmapodites,48,1,48,True,True,0.001000000001,0.21091626769304814,1.0000000010000002e-12,0.14261666236869602,
Haemagogus,28,2,28,True,True,0.09459149717101392,0.17480734565193404,0.0,0.0971039826765366,
HaemagogusConopostegus,4,1,4,True,True,0.001000000001,0.5992514945648895,1.0000000010000002e-12,0.0,
HaemagogusHaemagogus,24,1,24,True,True,0.001000000001,0.13880115950573932,1.0000000010000002e-12,0.040478131771498074,
Heizmannia,38,0,38,False,True,,0.2582810474366432,,0.0,
HeizmanniaHeizmannia,38,0,38,False,True,,0.2582810474366432,,0.0,
Opifex,2,1,2,True,True,0.001000000001,0.14737164967478425,1.0000000010000002e-12,0.0,
Opifex__subgenus__,2,1,2,True,True,0.001000000001,0.14737164967478425,1.0000000010000002e-12,0.0,
Psorophora,49,14,49,True,True,0.08151723818675818,0.09313078283732057,0.0,0.0006399053499347815,
PsorophoraGrabhamia,16,6,16,True,True,0.07120162018356656,0.0815927618742708,0.0,0.0,
PsorophoraJanthinosoma,23,5,23,True,True,0.08823313698967833,0.09755496601447326,0.0,0.0,
PsorophoraPsorophora,10,3,10,True,True,0.06856422585964195,0.08616562166399395,0.0,0.007343439949171198,
Udaya,3,0,3,False,True,,0.312340340995465,,0.0,
UdayaUdaya,3,0,3,False,True,,0.312340340995465,,0.0,
Verrallina,95,3,95,True,True,0.29764599018688376,0.42341539778411563,0.0,0.34562606465389034,
VerrallinaHarbachius,13,0,13,False,True,,0.2786605221004621,,0.0,
VerrallinaNeomacleaya,52,0,52,False,True,,0.4316238284119197,,0.3384462097596382,
VerrallinaVerrallina,30,3,30,True,True,0.2016107535850001,0.39542151660270874,0.0,0.3752070886874052,
Zeugnomyia,4,0,4,False,True,,0.4586647414470297,,0.0,
CulexAedinus,4,1,4,True,True,0.001000000001,0.2491718454398067,1.0000000010000002e-12,0.249105290038199,
CulexAfroculex,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexAllimanta,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexAnoedioporpa,12,0,12,False,True,,0.4534485534810416,,0.0,
CulexBarraudius,4,0,4,False,True,,0.17008374610711052,,0.0,
CulexBelkinomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexCarrollia,18,0,18,False,True,,0.6783080066268952,,0.4376679543681022,
CulexCulex,201,,,False,False,,,,,
CulexCuliciomyia,54,1,54,True,True,0.001000000001,0.3114486089679162,1.0000000010000002e-12,0.2666469704239039,
CulexEumelanomyia,77,0,77,False,True,,0.752387724673066,,0.5529920207597615,
CulexMicraedes,8,2,8,True,True,0.24469763952450568,0.15279733852792945,0.0,0.0,
CulexMicroculex,33,1,33,True,True,0.001000000001,0.2739032032157966,1.0000000010000002e-12,0.1682077949532327,
CulexNeoculex,26,,,False,False,,,,,
CulexNicaromyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexOculeomyia,19,2,19,True,True,0.166729725222924,0.42156591922466935,0.0,0.332486184963007,
CulexKitzmilleria,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexLasiosiphon,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexLophoceraomyia,112,2,112,True,True,0.24777926769838235,0.2773875529795231,0.0,0.16654732249324766,
CulexMaillotia,9,0,9,False,True,,0.4987150314750467,,0.12294880298216747,
CulexMelanoconion,160,,,False,False,,,,,
CulexPhenacomyia,3,1,3,True,True,0.001000000001,0.09200575261776048,1.0000000010000002e-12,0.0,
CulexPhytotelmatomyia,4,1,4,True,True,0.001000000001,0.4074608672115188,1.0000000010000002e-12,0.0,
CulexSirivanakarnius,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexTinolestes,3,0,3,False,True,,0.15148966404483544,,0.0,
Culexsubgenusuncertain,7,0,7,False,True,,0.5625654703618497,,0.0,
Deinocerites,18,2,18,True,True,0.13933839068577145,0.16825404613442219,0.0,0.0,
DeinoceritesDeinocerites,18,2,18,True,True,0.13933839068577145,0.16825404613442219,0.0,0.0,
Galindomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
GalindomyiaGalindomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Lutzia,8,1,8,True,True,0.001000000001,0.08016260508922904,1.0000000010000002e-12,0.0,
LutziaInsulalutzia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
LutziaLutzia,2,0,2,False,True,,0.10087185298863612,,0.0,
LutziaMetalutzia,5,1,5,True,True,0.001000000001,0.08653875247731585,1.0000000010000002e-12,0.0,
Culisetini,37,9,37,True,True,0.05575950714423766,0.10414739388116379,0.023705316740500592,0.0834833508489906,
Culiseta,37,9,37,True,True,0.05575950714423766,0.10414739388116379,0.023705316740500592,0.0834833508489906,
CulisetaAllotheobaldia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
CulisetaAustrotheobaldia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulisetaClimacura,5,1,5,True,True,0.001000000001,0.04910741313682688,1.0000000010000002e-12,0.04373171330568466,
CulisetaCulicella,14,,,False,False,,,,,
CulisetaCuliseta,12,4,12,True,True,0.08227001667120179,0.09142295376633597,0.0,0.013965780478444144,
CulisetaNeotheobaldia,2,0,2,False,True,,0.11772767868918735,,0.0,
CulisetaTheomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Culisetasubgenusuncertain,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Ficalbiini,53,0,,False,False,,,,,
Ficalbia,8,0,8,False,True,,0.24264771432014884,,0.0,
ZeugnomyiaZeugnomyia,4,0,4,False,True,,0.4586647414470297,,0.0,
Culicini,797,49,797,True,True,0.39965012412474227,0.5566190810278664,0.33600250285019745,0.4974220200710662,
Culex,770,,,False,False,,,,,
CulexAcalleomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexAcallyntrum,8,0,8,False,True,,1.0000000282819324,,1.0000000272819323,
FicalbiaFicalbia,8,0,8,False,True,,0.24264771432014884,,0.0,
Mimomyia,45,0,45,False,True,,0.4602643262248378,,0.04122889120333307,
MimomyiaMimomyia,45,0,45,False,True,,0.4602643262248378,,0.04122889120333307,
Hodgesiini,11,0,11,False,True,,0.5366206046560984,,0.0,
Hodgesia,11,0,11,False,True,,0.5366206046560984,,0.0,
HodgesiaHodgesia,11,0,11,False,True,,0.5366206046560984,,0.0,
Mansoniini,82,7,82,True,True,0.047781612412408525,0.21923767488115128,0.0024629452562543626,0.20412963877088444,
Coquillettidia,57,3,57,True,True,0.09006366356037453,0.340702029972177,0.0,0.32016366367148386,
CoquillettidiaAustromansonia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CoquillettidiaCoquillettidia,43,3,43,True,True,0.08177265216858794,0.2752802534721357,0.0,0.24158315308106806,
CoquillettidiaRhynchotaenia,13,0,13,False,True,,0.7230330675398771,,0.7065074815441226,
Mansonia,25,4,25,True,True,0.03402106974320202,0.16511843579623348,0.0,0.16306987327546596,
MansoniaMansonia,15,3,15,True,True,0.04165307075022756,0.09044847074390608,0.0,0.06771523434374262,
MansoniaMansonioides,10,1,10,True,True,0.001000000001,1.0000000282819324,1.0000000010000002e-12,1.0000000272819323,
Orthopodomyiini ,36,2,36,True,True,0.1914057543575703,0.3019394643141103,0.0,0.1823753680074915,
Johnbelkinia,3,0,3,False,True,,0.26128971479251567,,0.0,
JohnbelkiniaJohnbelkinia,3,0,3,False,True,,0.26128971479251567,,0.0,
Kimia,5,0,5,False,True,,0.5399830312352986,,0.0,
KimiaKimia,5,0,5,False,True,,0.5399830312352986,,0.0,
Limatus,9,1,9,True,True,0.001000000001,0.09569194302321168,1.0000000010000002e-12,0.0,
LimatusLimatus,9,1,9,True,True,0.001000000001,0.09569194302321168,1.0000000010000002e-12,0.0,
Malaya,12,0,12,False,True,,0.399776512123302,,0.08020305094495667,
MalayaMalaya,12,0,12,False,True,,0.399776512123302,,0.08020305094495667,
Maorigoeldia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
MaorigoeldiaMaorigoeldia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Orthopodomyia,36,2,36,True,True,0.1914057543575703,0.3019394643141103,0.0,0.1823753680074915,
OrthopodomyiaOrthopodomyia,36,2,36,True,True,0.1914057543575703,0.3019394643141103,0.0,0.1823753680074915,
